37.140.141.29 - - [05/Feb/2015:09:52:08 +0100] "GET / HTTP/1.1" 302 534 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
92.151.45.205 - - [05/Feb/2015:09:52:38 +0100] "GET /s/00ab16276250d971bd9284156f64486a-T/en_US-dpa8tt/6346/8/1.5/_/download/batch/com.atlassian.administration.atlassian-admin-quicksearch-jira:admin-quicksearch-webresources/com.atlassian.administration.atlassian-admin-quicksearch-jira:admin-quicksearch-webresources.js?locale=en-US HTTP/1.1" 200 1121 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:38 +0100] "GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/en_US-dpa8tt/6346/8/3.1.0/_/download/batch/com.atlassian.plugins.atlassian-plugins-webresource-plugin:curl/com.atlassian.plugins.atlassian-plugins-webresource-plugin:curl.js HTTP/1.1" 200 6950 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:38 +0100] "GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/en_US-dpa8tt/6346/8/3.1.0/_/download/batch/com.atlassian.plugins.atlassian-plugins-webresource-plugin:web-resource-manager/com.atlassian.plugins.atlassian-plugins-webresource-plugin:web-resource-manager.js HTTP/1.1" 200 2643 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:38 +0100] "GET /s/d41d8cd98f00b204e9800998ecf8427e-T/en_US-dpa8tt/6346/8/1.8.4/_/download/batch/com.radiantminds.roadmaps-jira:rm-roadmaps-webresource-dialog-create/com.radiantminds.roadmaps-jira:rm-roadmaps-webresource-dialog-create.js HTTP/1.1" 200 875 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:38 +0100] "GET /rest/api/1.0/shortcuts/6346/f7cc047d804417cfbc3eec3bc45e2f61/shortcuts.js HTTP/1.1" 200 951 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:31 +0100] "GET /s/9bd96cff2760bceb960b0e35344e032b-CDN/en_US-dpa8tt/6346/8/3d91958213497fb774531e41bd2c9c21/_/download/contextbatch/js/jira.general/batch.js?locale=en-US HTTP/1.1" 200 41890 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:38 +0100] "GET /s/en_US-dpa8tt/6346/8/_/favicon.ico HTTP/1.1" 200 6578 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:31 +0100] "GET /s/3745e6fd82d7b51d0a00c218168760bf-CDN/en_US-dpa8tt/6346/8/3/_/download/superbatch/js/batch.js?locale=en-US HTTP/1.1" 200 254839 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:31 +0100] "GET /s/a57436898199ac15379becce02d18e1a-T/en_US-dpa8tt/6346/8/2bdced1fe7bd8d2eb3fb9e859cc11822/_/download/contextbatch/js/atl.dashboard,atl.general,jira.global/batch.js?locale=en-US HTTP/1.1" 200 196817 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:31 +0100] "GET /s/c9f0f895fb98ab9159f51fd0297e236d-CDN/en_US-dpa8tt/6346/8/3/_/download/superbatch/css/batch.css HTTP/1.1" 200 121184 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:31 +0100] "GET /s/c9f0f895fb98ab9159f51fd0297e236d-CDN/en_US-dpa8tt/6346/8/2bdced1fe7bd8d2eb3fb9e859cc11822/_/download/contextbatch/css/atl.dashboard,atl.general,jira.global/batch.css HTTP/1.1" 200 167071 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:45 +0100] "GET /s/en_US-dpa8tt/6346/8/_/images/icon-jira-logo.png HTTP/1.1" 200 2794 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:45 +0100] "GET /rest/helptips/1.0/tips?_=1423126361339 HTTP/1.1" 401 610 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:46 +0100] "GET /rest/menu/latest/appswitcher?_=1423126361528 HTTP/1.1" 200 637 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:46 +0100] "GET /s/en_US-dpa8tt/6346/8/5.6.7-jira-1/_/download/resources/com.atlassian.auiplugin:aui-experimental-iconfont/atlassian-icons.woff HTTP/1.1" 200 37379 "http://www.yajade.com/s/c9f0f895fb98ab9159f51fd0297e236d-CDN/en_US-dpa8tt/6346/8/3/_/download/superbatch/css/batch.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:46 +0100] "POST /plugins/servlet/gadgets/dashboard-diagnostics HTTP/1.1" 500 3085 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:46 +0100] "GET /rest/menu/latest/isAppSuggestionAvailable?_=1423126361937 HTTP/1.1" 401 610 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:48 +0100] "GET / HTTP/1.1" 302 452 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:48 +0100] "GET /secure/MyJiraHome.jspa HTTP/1.1" 302 561 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:48 +0100] "GET /secure/Dashboard.jspa HTTP/1.1" 200 12637 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:49 +0100] "GET /rest/helptips/1.0/tips?_=1423126364991 HTTP/1.1" 401 610 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:49 +0100] "GET /rest/menu/latest/appswitcher?_=1423126365113 HTTP/1.1" 200 637 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:49 +0100] "POST /plugins/servlet/gadgets/dashboard-diagnostics HTTP/1.1" 500 3085 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:52:49 +0100] "GET /rest/menu/latest/isAppSuggestionAvailable?_=1423126365509 HTTP/1.1" 401 610 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:57:02 +0100] "GET / HTTP/1.1" 302 453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:57:02 +0100] "GET /secure/MyJiraHome.jspa HTTP/1.1" 302 561 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:57:02 +0100] "GET /secure/Dashboard.jspa HTTP/1.1" 200 12640 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:57:03 +0100] "GET /rest/helptips/1.0/tips?_=1423126619144 HTTP/1.1" 401 610 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:57:03 +0100] "GET /rest/menu/latest/appswitcher?_=1423126619283 HTTP/1.1" 200 637 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:57:03 +0100] "POST /plugins/servlet/gadgets/dashboard-diagnostics HTTP/1.1" 500 3085 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:09:57:04 +0100] "GET /rest/menu/latest/isAppSuggestionAvailable?_=1423126619677 HTTP/1.1" 401 611 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:10:02:08 +0100] "GET / HTTP/1.1" 302 453 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:10:02:08 +0100] "GET /secure/MyJiraHome.jspa HTTP/1.1" 302 561 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:10:02:08 +0100] "GET /secure/Dashboard.jspa HTTP/1.1" 200 12647 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:10:02:11 +0100] "GET /rest/helptips/1.0/tips?_=1423126926791 HTTP/1.1" 401 610 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:10:02:11 +0100] "GET /rest/menu/latest/appswitcher?_=1423126926911 HTTP/1.1" 200 637 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:10:02:11 +0100] "POST /plugins/servlet/gadgets/dashboard-diagnostics HTTP/1.1" 500 3085 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
92.151.45.205 - - [05/Feb/2015:10:02:11 +0100] "GET /rest/menu/latest/isAppSuggestionAvailable?_=1423126927404 HTTP/1.1" 401 611 "http://www.yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:13 +0100] "GET / HTTP/1.1" 302 535 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:14 +0100] "GET /secure/MyJiraHome.jspa HTTP/1.1" 302 610 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:19 +0100] "GET /s/en_US-dpa8tt/6346/8/_/favicon.ico HTTP/1.1" 200 6580 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:14 +0100] "GET /secure/Dashboard.jspa HTTP/1.1" 200 12637 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:22 +0100] "GET /s/d41d8cd98f00b204e9800998ecf8427e-T/en_US-dpa8tt/6346/8/1.8.4/_/download/batch/com.radiantminds.roadmaps-jira:rm-roadmaps-webresource-dialog-create/com.radiantminds.roadmaps-jira:rm-roadmaps-webresource-dialog-create.css HTTP/1.1" 200 804 "http://yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:22 +0100] "GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/en_US-dpa8tt/6346/8/3.5.7/_/download/batch/com.atlassian.gadgets.dashboard:gadget-dashboard-resources/com.atlassian.gadgets.dashboard:gadget-dashboard-resources.css HTTP/1.1" 200 687 "http://yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:22 +0100] "GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/en_US-dpa8tt/6346/8/3d91958213497fb774531e41bd2c9c21/_/download/contextbatch/css/jira.general/batch.css HTTP/1.1" 200 4983 "http://yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:22 +0100] "GET /s/9bd96cff2760bceb960b0e35344e032b-CDN/en_US-dpa8tt/6346/8/3d91958213497fb774531e41bd2c9c21/_/download/contextbatch/js/jira.general/batch.js?locale=en-US HTTP/1.1" 200 41871 "http://yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:23 +0100] "GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/en_US-dpa8tt/6346/8/3.5.7/_/download/batch/com.atlassian.gadgets.embedded:gadget-core-resources/com.atlassian.gadgets.embedded:gadget-core-resources.js HTTP/1.1" 200 4542 "http://yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:22 +0100] "GET /s/c9f0f895fb98ab9159f51fd0297e236d-CDN/en_US-dpa8tt/6346/8/3/_/download/superbatch/css/batch.css HTTP/1.1" 200 121240 "http://yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:23 +0100] "GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/en_US-dpa8tt/6346/8/3.5.7/_/download/batch/com.atlassian.gadgets.embedded:gadget-container-resources/com.atlassian.gadgets.embedded:gadget-container-resources.js HTTP/1.1" 200 1100 "http://yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:23 +0100] "GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/en_US-dpa8tt/6346/8/3.5.7/_/download/batch/com.atlassian.gadgets.dashboard:gadget-dashboard-resources/com.atlassian.gadgets.dashboard:gadget-dashboard-resources.js HTTP/1.1" 200 2215 "http://yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:23 +0100] "GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/en_US-dpa8tt/6346/8/1.0/_/download/batch/jira.webresources:calendar-en/jira.webresources:calendar-en.js HTTP/1.1" 200 1463 "http://yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:23 +0100] "GET /s/00ab16276250d971bd9284156f64486a-T/en_US-dpa8tt/6346/8/1.5/_/download/batch/com.atlassian.administration.atlassian-admin-quicksearch-jira:admin-quicksearch-webresources/com.atlassian.administration.atlassian-admin-quicksearch-jira:admin-quicksearch-webresources.js?locale=en-US HTTP/1.1" 200 1122 "http://yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:22 +0100] "GET /s/c9f0f895fb98ab9159f51fd0297e236d-CDN/en_US-dpa8tt/6346/8/2bdced1fe7bd8d2eb3fb9e859cc11822/_/download/contextbatch/css/atl.dashboard,atl.general,jira.global/batch.css HTTP/1.1" 200 167142 "http://yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:23 +0100] "GET /s/d41d8cd98f00b204e9800998ecf8427e-T/en_US-dpa8tt/6346/8/1.8.4/_/download/batch/com.radiantminds.roadmaps-jira:rm-roadmaps-webresource-dialog-create/com.radiantminds.roadmaps-jira:rm-roadmaps-webresource-dialog-create.js HTTP/1.1" 200 876 "http://yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:23 +0100] "GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/en_US-dpa8tt/6346/8/3.1.0/_/download/batch/com.atlassian.plugins.atlassian-plugins-webresource-plugin:web-resource-manager/com.atlassian.plugins.atlassian-plugins-webresource-plugin:web-resource-manager.js HTTP/1.1" 200 2644 "http://yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:23 +0100] "GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/en_US-dpa8tt/6346/8/3.1.0/_/download/batch/com.atlassian.plugins.atlassian-plugins-webresource-plugin:curl/com.atlassian.plugins.atlassian-plugins-webresource-plugin:curl.js HTTP/1.1" 200 6951 "http://yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:22 +0100] "GET /s/a57436898199ac15379becce02d18e1a-T/en_US-dpa8tt/6346/8/2bdced1fe7bd8d2eb3fb9e859cc11822/_/download/contextbatch/js/atl.dashboard,atl.general,jira.global/batch.js?locale=en-US HTTP/1.1" 200 196851 "http://yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:23 +0100] "GET /rest/api/1.0/shortcuts/6346/f7cc047d804417cfbc3eec3bc45e2f61/shortcuts.js HTTP/1.1" 200 952 "http://yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:22 +0100] "GET /s/3745e6fd82d7b51d0a00c218168760bf-CDN/en_US-dpa8tt/6346/8/3/_/download/superbatch/js/batch.js?locale=en-US HTTP/1.1" 200 254870 "http://yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:23 +0100] "GET /s/en_US-dpa8tt/6346/8/_/images/icon-jira-logo.png HTTP/1.1" 200 2795 "http://yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:24 +0100] "GET /rest/helptips/1.0/tips?_=1423151423440 HTTP/1.1" 401 611 "http://yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:24 +0100] "GET /rest/menu/latest/appswitcher?_=1423151423624 HTTP/1.1" 200 638 "http://yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:24 +0100] "GET /s/en_US-dpa8tt/6346/8/5.6.7-jira-1/_/download/resources/com.atlassian.auiplugin:aui-experimental-iconfont/atlassian-icons.woff HTTP/1.1" 200 37380 "http://yajade.com/s/c9f0f895fb98ab9159f51fd0297e236d-CDN/en_US-dpa8tt/6346/8/3/_/download/superbatch/css/batch.css" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
82.120.63.84 - - [05/Feb/2015:16:50:24 +0100] "POST /plugins/servlet/gadgets/dashboard-diagnostics HTTP/1.1" 500 3082 "http://yajade.com/secure/Dashboard.jspa" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0"
